release_date,channel,version,dart_sdk_version,engine_commit,snapshot_hash
2022-10-06T17:12:01.834313Z,beta,3.4.0-34.1.pre,2.19.0 (build 2.19.0-255.2.beta),db0cbb2145c227cdac34b7a6a866e274f06e6e12,b6a1c0b8562a7680adedfbb8fcc5a065
2022-10-05T16:48:07.889310Z,stable,3.3.4,2.18.2,c08d7d5efc9aa6eb3c30cfb3be6dc09bca5e7631,b0e899ec5a90e4661501f0b69e9dd70f
2022-09-28T19:51:59.024002Z,stable,3.3.3,2.18.2,5c984c26ebc4a0a8897305d3c6bef70ced91090d,b0e899ec5a90e4661501f0b69e9dd70f
2022-09-21T20:26:17.472747Z,beta,3.4.0-17.2.pre,2.19.0 (build 2.19.0-146.2.beta),3950c6140a3f1cb295364b0446627bd3a1736915,1044d5d7857485639caee4798a5dcbb7
2022-09-21T00:45:03.783788Z,beta,3.4.0-17.1.pre,2.19.0 (build 2.19.0-146.1.beta),9b2472da99dd27fd1cd817ae47cd2e3328d1049b,1044d5d7857485639caee4798a5dcbb7
2022-09-14T15:06:55.724077Z,stable,3.3.2,2.18.1,a4ff2c53d84ca78702bc3be6c7ef0788ffca01d3,b0e899ec5a90e4661501f0b69e9dd70f
2022-09-07T15:30:42.283999Z,stable,3.3.1,2.18.0,3efdf03e73dd352873fc5a7e1c0de04e52863b3a,b0e899ec5a90e4661501f0b69e9dd70f
2022-08-30T17:22:12.916008Z,stable,3.3.0,2.18.0,5e9e0e0aa8be4ff69facadd706b713f0bb54d5b3,b0e899ec5a90e4661501f0b69e9dd70f
2022-08-23T17:03:21.525151Z,beta,3.3.0-0.5.pre,2.18.0 (build 2.18.0-271.7.beta),ad3d868e0d174f5a8447b011bd714d18a5f2abec,b0e899ec5a90e4661501f0b69e9dd70f
2022-08-20T04:51:18.022823Z,beta,3.3.0-0.4.pre,2.18.0 (build 2.18.0-271.7.beta),ad3d868e0d174f5a8447b011bd714d18a5f2abec,b0e899ec5a90e4661501f0b69e9dd70f
2022-08-10T19:12:48.645905Z,beta,3.3.0-0.3.pre,2.18.0 (build 2.18.0-271.4.beta),f16e757d5d68c164d084b61d84e3b7cd14eacba9,b0e899ec5a90e4661501f0b69e9dd70f
2022-08-03T01:06:09.377154Z,beta,3.3.0-0.2.pre,2.18.0 (build 2.18.0-271.4.beta),d1e7dc18bf272f7f2be1c9094307fa0462787ff2,b0e899ec5a90e4661501f0b69e9dd70f
2022-07-27T20:02:24.681157Z,beta,3.3.0-0.1.pre,2.18.0 (build 2.18.0-271.4.beta),fd131c385ee2a2d0484c49ed859911798e4e177b,b0e899ec5a90e4661501f0b69e9dd70f
2022-07-20T17:33:09.773259Z,beta,3.3.0-0.0.pre,2.18.0 (build 2.18.0-271.2.beta),1388adb442192ce155630eeb6806b74db07dd15e,b0e899ec5a90e4661501f0b69e9dd70f
2022-07-13T20:57:03.919551Z,stable,3.0.5,2.17.6,e85ea0e79c6d894c120cda4ee8ee10fe6745e187,1441d6b13b8623fa7fbf61433abebd31
2022-07-01T13:45:08.754031Z,stable,3.0.4,2.17.5,6ba2af10bb05c88a2731482cedf2cfd11cf5af0b,1441d6b13b8623fa7fbf61433abebd31
2022-06-22T21:06:55.035195Z,stable,3.0.3,2.17.5,ffe7b86a1e5b5cb63c8385ae1adc759e372ee8f4,1441d6b13b8623fa7fbf61433abebd31
2022-06-15T13:45:33.556861Z,beta,3.1.0-9.0.pre,2.18.0 (build 2.18.0-165.1.beta),74ee6b5afd8d7c3f7c66efa1a2a384e15267f9be,8e50e448b241be23b9e990094f4dca39
2022-06-10T15:16:49.981007Z,stable,3.0.2,2.17.3,f15f824b57476e369b5e656f53d4c431c5b04b9a,1441d6b13b8623fa7fbf61433abebd31
2022-05-26T18:09:48.638565Z,beta,3.1.0,2.18.0 (build 2.18.0-44.1.beta),44e5b38ee83a1282981a30abc08ffcf6cd0e44bd,6a9b5a03a7e784a4558b10c769f188d9
2022-05-20T03:45:16.909313Z,stable,3.0.1,2.17.1,caaafc5604ee9172293eb84a381be6aadd660317,1441d6b13b8623fa7fbf61433abebd31
2022-05-11T18:55:24.142977Z,stable,3.0.0,2.17.0,d1b9a6938ad77326ac3a94d92bbc77933ed829ed,1441d6b13b8623fa7fbf61433abebd31
2022-05-05T21:48:01.989568Z,beta,2.13.0-0.4.pre,2.17.0 (build 2.17.0-266.8.beta),c5caf749fe75db788dba8def502c46c094435605,1441d6b13b8623fa7fbf61433abebd31
2022-04-27T22:49:11.654128Z,beta,2.13.0-0.3.pre,2.17.0 (build 2.17.0-266.7.beta),3096903c8923608d3c1ccf8058a29c31a2bfbc53,1441d6b13b8623fa7fbf61433abebd31
2022-04-20T17:54:05.435804Z,beta,2.13.0-0.2.pre,2.17.0 (build 2.17.0-266.5.beta),24a02fa5ee681840cdc842c22f4cb4bdd5ec3115,1441d6b13b8623fa7fbf61433abebd31
2022-04-18T19:39:16.376216Z,stable,2.10.5,2.16.2,57d3bac3dd5cb5b0e464ab70e7bc8a0d8cf083ab,d56742caf7b3b3f4bd2df93a9bbb5503
2022-04-13T19:01:07.412476Z,beta,2.13.0-0.1.pre,2.17.0 (build 2.17.0-266.1.beta),499984f99cfe01e3b69d962ec4847f70c4317694,1441d6b13b8623fa7fbf61433abebd31
